code,name,store
S001,手巻おにぎりツナマヨネーズ,セブンイレブン
S002,手巻おにぎりしゃけ,セブンイレブン
S003,手巻おにぎり熟成旨味仕立て紀州南高梅,セブンイレブン
S004,手巻おにぎりだしの旨味昆布,セブンイレブン
S005,塩むすび,セブンイレブン
S006,たまご醤油おむすび,セブンイレブン
S007,手巻おにぎり辛子明太子,セブンイレブン
S008,香ばし炒め玉子チャーハンおむすび,セブンイレブン
S009,セブンプレミアム かつおとこんぶの風味豊かなたこ焼 6個,セブンイレブン
S010,セブンプレミアム レンジで焼き餃子 5個 100g,セブンイレブン
S011,セブンプレミアム さぬきうどん 2食,セブンイレブン
S012,セブンプレミアム カルボナーラ 1人前285g,セブンイレブン
S013,セブンプレミアム 彩り野菜とベーコンのジェノベーゼ,セブンイレブン
S014,セブンプレミアムゴールド 金のマルゲリータ,セブンイレブン
S015,セブンプレミアム 手羽中唐揚げ 120g,セブンイレブン
S016,セブンプレミアム ミートソース,セブンイレブン
S017,セブンプレミアム カルビクッパ1人前,セブンイレブン
S018,セブンプレミアム 海鮮お好み焼 270g,セブンイレブン
S019,セブンプレミアム 自然な味わいフライドポテト 100g,セブンイレブン
S020,セブンプレミアム 大盛ペペロンチーノ340g,セブンイレブン
S021,セブンプレミアム 牛ホルモン焼 1パック,セブンイレブン
S022,セブンプレミアム 蒙古タンメン中本 辛旨味噌 122g,セブンイレブン
